Category B Theory test revision question bank February 2025,,,,,,,,,,,,,,,,,,,,,,
Item,Topic,Answer,Stem,Mark Answer,OptionA,OptionB,OptionC,OptionD,Expl text,List Amendments,NI Exempt,Stem.gif,A.gif,B.gif,C.gif,D.gif,Stem HiRes,A HiRes,B HiRes,C HiRes,D HiRes,Cat B Book XRefs
AB2338,Road and traffic signs ,A,What does a sign with a brown background show?,Mark one answer,Tourist directions,Primary roads,Motorway routes,Minor roads,"Signs with a brown background give directions to places of interest. They're often seen on a motorway, directing you along the easiest route to the attraction.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,AB2338.gif,,,,,TS4010.eps,,,,,"?DES s6, KYTS p98"
AB2339,Road and traffic signs ,A,What does this sign mean?,Mark one answer,Tourist attraction,Beware of trains,Level crossing,Beware of trams,These signs indicate places of interest and are designed to guide you by the easiest route. They're particularly useful when you're unfamiliar with the area.,"29/01/2016:  Continuation question re-written for accessibility
23/11/2023:  Updates to cross references after new KYTS",,AB2339.gif,,,,,TS4686.eps,,,,,"?DES s6, KYTS p118"
AB2340,Road and traffic signs ,A,What's the purpose of triangular shaped signs?,Mark one answer,To give warnings,To give information,To give orders,To give directions,"Triangular signs warn you of hazards ahead. Make sure you look at each sign that you pass on the road, so that you do not miss any vital instructions or information.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
3/3/2020:  Explanation - tiny correction, warns changed to warn.
26/9/2024:  Remove negative contraction",,AB2340.gif,,,,,TS4629.eps,,,,,"?DES s6, HC p128, KYTS p10"
AB2341,Road and traffic signs ,B,What does this sign mean?,Mark one answer,Turn left ahead,T-junction,No through road,Give way,"This type of sign warns you of hazards ahead. Make sure you look at each sign and road marking that you pass, so that you do not miss any vital instructions or information. This sign shows there's a T-junction with priority over vehicles from the right. ","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
26/9/2024:  Remove negative contraction",,AB2341.gif,,,,,TS4632.eps,,,,,"?DES s6, HC p128, KYTS p10"
AB2342,Road and traffic signs ,B,What does this sign mean?,Mark one answer,Multi-exit roundabout,Risk of ice,Six roads converge,Place of historical interest,"It will take up to 10 times longer to stop when it’s icy. Where there's a risk of icy conditions, you need to be aware of this and take extra care. If you think the road may be icy, do not brake or steer harshly, as your tyres could lose their grip on the road.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
26/9/2024:  Remove negative contraction",,AB2342.gif,,,,,TS4651.eps,,,,,"?DES s6, HC p129, KYTS p13"
AB2343,Road and traffic signs ,A,What does this sign mean?,Mark one answer,Crossroads,Level crossing with gate,Level crossing without gate,Ahead only,The priority through the junction is shown by the broader line. You need to be aware of the hazard posed by traffic crossing or pulling out onto a major road.,,,AB2343.gif,,,,,TS4631.eps,,,,,"?DES s6, HC p128, KYTS p10"
AB2344,Road and traffic signs ,D,What does this sign mean?,Mark one answer,Ring road,Mini-roundabout,No vehicles,Roundabout,"As you approach a roundabout, look well ahead and check all signs. Decide which exit you wish to take and move into the correct position as you approach the roundabout, signalling as required.",09/02/2016:  AB and BB Items edited by TSO for style,,AB2344.gif,,,,,TS4634.eps,,,,,"?DES s6, HC p128, KYTS p10"
AB2345,Road and traffic signs ,A,What information would be shown in a triangular road sign?,Mark one answer,Road narrows,Ahead only,Keep left,Minimum speed,Warning signs are there to make you aware of potential hazards on the road ahead. Take note of the signs so you're prepared and can take whatever action is necessary.,"7/8/2015:  Amended made during the global change to 'Mark one answer'
23/11/2023:  Updates to cross references after new KYTS",,AB2345.gif,,,,,TS4629.eps,,,,,"?DES s6, HC p128-129, KYTS p10-15"
AB2346,Road and traffic signs ,C,What does this sign mean?,Mark one answer,Cyclists must dismount,Cycles are not allowed,Cycle route ahead,Cycle in single file,"Where there's a cycle route ahead, a sign will show a bicycle in a red warning triangle. Watch out for children on bicycles and cyclists rejoining the main road.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contraction",,AB2346.gif,,,,,TS4683.eps,,,,,"?DES s6, HC p129, KYTS p15"
AB2347,Road and traffic signs ,A,Which sign means that pedestrians may be walking along the road?,Mark one answer,,,,,"When you pass pedestrians in the road, leave plenty of room. You might have to use the right-hand side of the road, so look well ahead, as well as in your mirrors, before pulling out. Take great care if a bend in the road obscures your view ahead.",09/02/2016:  AB and BB Items edited by TSO for style,,,AB2347a.gif,AB2347b.gif,AB2347c.gif,AB2347d.gif,,TS4647.eps,TS4648.eps,TS4646.eps,TS4649.eps,"?DES s6, HC p129, KYTS p13"
AB2351,Road and traffic signs ,B,Which sign means there's a double bend ahead?,Mark one answer,,,,,"Triangular signs give you a warning of hazards ahead. They're there to give you time to prepare for the hazard; for example, by adjusting your speed.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,AB2351a.gif,AB2351b.gif,AB2351c.gif,AB2351d.gif,,TS4577.eps,TS4637.eps,TS4636.eps,TS4635.eps,"?DES s6, HC p128, KYTS p10"
AB2352,Road and traffic signs ,C,What does this sign mean?,Mark one answer,Wait at the barriers,Wait at the crossroads,Give way to trams,Give way to farm vehicles,Obey the 'give way' signs. Trams are unable to steer around you if you misjudge when it's safe to enter the junction.,"09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,AB2352.gif,,,,,TS4088.eps,,,,,"?DES s6, KYTS p33"
AB2353,Road and traffic signs ,B,What does this sign mean?,Mark one answer,Hump bridge,Humps in the road,Entrance to tunnel,Soft verges,These humps have been put in place to slow the traffic down. They're usually found in residential areas. Slow down to an appropriate speed. ,"09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,AB2353.gif,,,,,TS4602.eps,,,,,"?DES s6, HC p129, KYTS p85"
AB2357,Road and traffic signs ,D,Which sign means the end of a dual carriageway?,Mark one answer,,,,,"If you’re overtaking, make sure you move back safely into the left-hand lane before you reach the end of the dual carriageway.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,AB2357a.gif,AB2357b.gif,AB2357c.gif,AB2357d.gif,,TS4638.eps,TS4639.eps,TS4642.eps,TS4640.eps,"?DES s6, HC p128, KYTS p11"
AB2358,Road and traffic signs ,A,What does this sign mean?,Mark one answer,End of dual carriageway,Tall bridge,Road narrows,End of narrow bridge,Do not wait until the last moment before moving into the left-hand lane. Plan ahead and do not rely on other traffic letting you in.,"09/02/2016:  AB and BB Items edited by TSO for style
26/9/2024:  Remove negative contractions",,AB2358.gif,,,,,TS4640.eps,,,,,"?DES s6, HC p128, KYTS p11"
AB2360,Road and traffic signs ,A,What does this sign mean?,Mark one answer,Side winds,Road noise,Airport,Adverse camber,A warning sign with a picture of a windsock indicates that there may be strong side winds. This sign is often found on exposed roads.,09/02/2016:  AB and BB Items edited by TSO for style,,AB2360.gif,,,,,TS4518.eps,,,,,"?DES s6, HC p129, KYTS p12"
AB2361,Road and traffic signs ,C,What does this traffic sign mean?,Mark one answer,Slippery road ahead,Tyres liable to punctures ahead,Danger ahead,Service area ahead,This sign is there to alert you to the likelihood of danger ahead. It may be accompanied by a plate indicating the type of hazard. Be ready to reduce your speed and take avoiding action.,,,AB2361.gif,,,,,TS4517.eps,,,,,"?DES s6, HC p129, KYTS p13-14"
AB2362,Road and traffic signs ,D,You're about to overtake. What should you do when you see this sign?,Mark one answer,Overtake the other driver as quickly as possible,Move to the right to get a better view,Switch your headlights on before overtaking,Hold back until you can see clearly ahead,"You will not be able to see any hazards that might be hidden in the dip. As well as oncoming traffic, the dip may conceal
• cyclists
• horse riders
• parked vehicles
• pedestrians
in the road. ","10/2/2016:  Question rewritten and added to Car book bank from Motorcycle book bank
26/9/2024:  Remove negative contraction",,AB2362.gif,,,,,TS4549.eps,,,,,"?DES s6, HC p129, KYTS p13-14"
AB2363,Road and traffic signs ,A,What does this sign mean?,Mark one answer,Level crossing with gate or barrier,Gated road ahead,Level crossing without gate or barrier,Cattle grid ahead,"Some crossings have gates but no attendant or signals. You should stop, look both ways, listen and make sure that no train is approaching. If there's a telephone, contact the signal operator to make sure it's safe to cross.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,AB2363.gif,,,,,TS4679.eps,,,,,"?DES s6, HC p128, KYTS p29"
AB2364,Road and traffic signs ,C,What does this sign mean?,Mark one answer,No trams ahead,Oncoming trams,Trams crossing ahead,Trams only,"This sign tells you to beware of trams. If you do not usually drive in a town where there are trams, remember to look out for them at junctions and look for tram rails, signs and signals.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contraction",,AB2364.gif,,,,,TS4680.eps,,,,,"?DES s6, HC p128, KYTS p33"
AB2365,Road and traffic signs ,B,What does this sign mean?,Mark one answer,Adverse camber,Steep hill downwards,Uneven road,Steep hill upwards,This sign gives you an early warning that the road ahead will slope downhill. Prepare to alter your speed and gear. Looking at the sign from left to right will show you whether the road slopes uphill or downhill. ,09/02/2016:  AB and BB Items edited by TSO for style,,AB2365.gif,,,,,TS4643.eps,,,,,"?DES s6, HC p128, KYTS p12"
AB2367,Road and traffic signs ,D,What does this sign mean?,Mark one answer,Uneven road surface,Bridge over the road,Road ahead ends,Water across the road,"This sign is found where a shallow stream crosses the road. Heavy rainfall could increase the flow of water. If the water looks too deep or the stream has spread over a large distance, stop and find another route.",,,AB2367.gif,,,,,TS4516.eps,,,,,"?DES s6, HC p129, KYTS p12"
AB2369,Road and traffic signs ,B,What does this sign mean?,Mark one answer,Turn left for parking area,No through road on the left,No entry for traffic turning left,Turn left for ferry terminal,This sign shows you that you cannot get through to another route by turning left at the junction ahead.,"09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contraction",,AB2369.gif,,,,,TS4701.eps,,,,,"?DES s6, KYTS p134"
AB2370,Road and traffic signs ,B,What does this sign mean?,Mark one answer,T-junction,No through road,Telephone box ahead,Toilet ahead,You will not be able to find a through route to another road. Use this road only for access.,"09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contraction",,AB2370.gif,,,,,TS4700.eps,,,,,"?DES s6, HC p133, KYTS p134"
AB2375,Road and traffic signs ,C,Which is the sign for a ring road?,Mark one answer,,,,,Ring roads are designed to relieve congestion in towns and city centres.,,,,AB2375a.gif,AB2375b.gif,AB2375c.gif,AB2375d.gif,,TS4663.eps,TS4634.eps,TS4685.eps,TS4691.eps,"?DES s6, HC p131"
AB2378,Road and traffic signs ,D,What does this sign mean?,Mark one answer,The right-hand lane ahead is narrow,Right-hand lane for buses only,Right-hand lane for turning right,The right-hand lane is closed,"Yellow-and-black temporary signs may be used to inform you about roadworks or lane restrictions. Look well ahead. If you have to change lanes, do so in good time.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,AB2378.gif,,,,,TS4057.eps,,,,,"?DES s6, HC p133, KYTS p151"
AB2379,Road and traffic signs ,C,What does this sign mean?,Mark one answer,Change to the left-hand lane,Leave at the next exit,Contraflow system,One-way street,"If you use the right-hand lane in a contraflow system, you’ll be travelling with no permanent barrier between you and the oncoming traffic. Observe speed limits and keep a good distance from the vehicle ahead.",25/7/2019:  Change following 2019 review,,AB2379.gif,,,,,TS4578.eps,,,,,"?DES s6, HC p133"
AB2381,Road and traffic signs ,B,What does this sign mean?,Mark one answer,Leave motorway at next exit,Lane for heavy and slow vehicles,All lorries use the hard shoulder,Rest area for lorries,"Where there's a long, steep, uphill gradient on a motorway, a crawler lane may be provided. This helps the traffic to flow by diverting the slower heavy vehicles into a dedicated lane on the left.",,,AB2381.gif,,,,,TS4503.eps,,,,,"?DES s6, 11, HC r139"
AB2384,Road and traffic signs ,C,What does a red traffic light mean?,Mark one answer,You should stop unless turning left,"Stop, if you're able to brake safely",You must stop and wait behind the stop line,Proceed with care,"Whatever light is showing, you should know which light is going to appear next and be able to take appropriate action. For example, when amber is showing on its own, you’ll know that red will appear next. This should give you ample time to anticipate and respond safely.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,,,,,,,,,,,"?DES s6, HC p122, KYTS p140"
AB2385,Road and traffic signs ,D,"At traffic lights, what does it mean when the amber light shows on its own?",Mark one answer,Prepare to go,Go if the way is clear,Go if no pedestrians are crossing,Stop at the stop line,"When the amber light is showing on its own, the red light will follow next. The amber light means stop, unless you've already crossed the stop line or you're so close to it that stopping may cause a collision.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,,,,,,,,,,,"?DES s6, HC p122, KYTS p140"
AB2388,Road and traffic signs ,B,You're at a junction controlled by traffic lights. When should you wait at a green light?,Mark one answer,When pedestrians are waiting to cross,When your exit from the junction is blocked,When you think the lights may be about to change,When you intend to turn right,"As you approach the traffic lights, look into the road you wish to take. Only proceed if your exit road is clear. If the road is blocked, hold back, even if you have to wait for the next green signal.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,,,,,,,,,,,"?DES s6, HC p122, KYTS p140"
AB2389,Road and traffic signs ,A,"You're in the left-hand lane at traffic lights, waiting to turn left. Which signal means you must wait?",Mark one answer,,,,,"At some junctions, there may be separate signals for different lanes. These are called ‘filter’ lights. They’re designed to help traffic flow at major junctions. Make sure that you’re in the correct lane and proceed if the way is clear and the green light shows for your lane.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,,AB2389a.gif,AB2389b.gif,AB2389c.gif,AB2389d.gif,,TS4014.eps,TS4015.eps,TS4013.eps,TS4016.eps,"?DES s6, HC p122, KYTS p140"
AB2390,Road and traffic signs ,A,What does this sign mean?,Mark one answer,Traffic lights out of order,Amber signal out of order,Temporary traffic lights ahead,New traffic lights ahead,"You might see this sign where traffic lights are out of order. Proceed with caution, as nobody has priority at the junction.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,AB2390n1.gif,,,,,Out_of_order_tlights.eps,,,,,"?DES s6, HC p128, KYTS p161"
AB2392,Road and traffic signs ,C,Who has priority when traffic lights are out of order?,Mark one answer,Traffic going straight on,Traffic turning right,Nobody,Traffic turning left,"When traffic lights are out of order, you should treat the junction as an unmarked crossroads. Be cautious, as you may need to give way or stop. Look for traffic attempting to cross the junction, unaware that it does not have priority.","11/2/2016:  Edit to Expl text. Added to Car bank for Motorcycle bank during review Feb 2016. 
25/7/2019:  Change following 2019 review
26/9/2024:  Remove negative contraction",,,,,,,,,,,,DES s6
AB2393,Road and traffic signs ,D,Where would you find these flashing red light signals?,Mark one answer,Pelican crossings,Motorway exits,Zebra crossings,Level crossings,"These signals are found at level crossings, swing or lifting bridges, some airfields and emergency access sites. The flashing red lights mean stop whether or not the way seems to be clear.","7/8/2015:  Amended made during the global change to 'Mark one answer'
27/1/2016:  Edit as part of the process to remove unnecessary upper case words.
25/7/2019:  Change following 2019 review
3/3/2023:  Updated references
23/11/2023:  Updates to cross references after new KYTS",,AB2393n1.gif,,,,,TS4507b.eps,,,,,"?DES s6, HC p122, KYTS p13, 29, 141"
AB2394,Road and traffic signs ,A,What do these zigzag white lines mean?,Mark one answer,No parking at any time,Parking allowed only for a short time,Slow down to 20 mph,Sounding horns is not allowed,"The approach to, and exit from, a pedestrian crossing is marked with zigzag lines. You must not park on them or overtake the leading vehicle when approaching the crossing. Parking here would block the view for pedestrians and approaching traffic.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contractions",,AB2394n1.gif,,,,,DSCF2954.jpg,,,,,"?DES s6, HC r191, KYTS p143"
AB2396,Road and traffic signs ,C,When may you cross a double solid white line in the middle of the road?,Mark one answer,To pass traffic that's queuing back at a junction,To pass a car signalling to turn left ahead,To pass a road maintenance vehicle travelling at 10 mph or less,To pass a vehicle that's towing a trailer,"You may cross the solid white line to pass a stationary vehicle or to pass a cyclist, horse or road maintenance vehicle if it's travelling at 10 mph or less. You may also cross the solid white line to enter a side road or access a property.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS
30/10/2024:  Change pedal cycle to cyclist",,AB2396n1.gif,,,,,IMG_1871.jpg,,,,,"?DES s6, HC r129, p134, KYTS p76"
AB2398,Road and traffic signs ,C,What does this road marking mean?,Mark one answer,Do not cross the line,No stopping allowed,You're approaching a hazard,No overtaking allowed,"A single broken line along the centre of the road, with long markings and short gaps, is a hazard warning line. Do not cross it unless you can see that the road is clear well ahead.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contractions",,AB2398n1.gif,,,,,IMG_4674.jpg,,,,,"?DES s6, HC r127, p134, KYTS p74"
AB2400,Road and traffic signs ,B,Where would you see this road marking?,Mark one answer,At traffic lights,On road humps,Near a level crossing,At a box junction,"Because the road has a dark colour, changes in level are not easily seen. White triangles painted on the road surface give you an indication of where there are road humps.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contraction",,AB2400.gif,,,,,TS4076.tif,,,,,"?DES s6, KYTS p86"
AB2401,Road and traffic signs ,A,Which diagram shows a hazard warning line?,Mark one answer,,,,,"You need to know the difference between the normal centre line and a hazard warning line. If there's a hazard ahead, the markings are longer and the gaps shorter. This gives you advance warning of an unspecified hazard.","4/2/2016:  'there is' changed to 'there's'
09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,,AB2401a.gif,AB2401b.gif,AB2401c.gif,AB2401d.gif,,TS4045.tif,TS4046.tif,TS4047.tif,TS4048.tif,"?DES s6, HC r127, p134, KYTS p74"
AB2402,Road and traffic signs ,C,Why does this junction have a 'stop' sign and a stop line on the road?,Mark one answer,Speed on the major road is derestricted,It's a busy junction,Visibility along the major road is restricted,The junction is on a downhill gradient,"Where emerging traffic has a very restricted view of the main road, you may find a 'stop' sign and a solid white stop line. You must stop at the line and then check carefully before you emerge.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,AB2402n1.gif,,,,,IMG_1286.jpg,,,,,"?DES s6, HC p134, KYTS p9, 16"
AB2403,Road and traffic signs ,A,What does this line across the road at the entrance to a roundabout mean?,Mark one answer,Give way to traffic from the right,Traffic from the left has right of way,You have right of way,Stop at the line,"Slow down as you approach the roundabout and check for traffic from the right. If you need to stop and give way, stay behind the broken line until it's safe to emerge onto the roundabout.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,AB2403n1.gif,,,,,IMG_0874.jpg,,,,,"?DES s6, HC p134, KYTS p81"
AB2405,Road and traffic signs ,A,How will a police officer in a patrol vehicle signal for you to stop?,Mark one answer,"Flash the headlights, indicate left and point to the left",Overtake and give a slowing down arm signal,"Use the siren, overtake, cut in front and stop","Pull alongside you, use the siren and wave you to stop","You must obey signals given by the police. If a police officer in a patrol vehicle wants you to pull over, they'll indicate this without causing danger to you or other traffic.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"?DES s6, HC r106"
AB2407,Road and traffic signs ,D,You're approaching a junction where the traffic lights are not working. What should you do when a police officer gives this signal?,Mark one answer,Turn left only,Turn right only,Continue ahead only,Stop at the stop line,"When a police officer or traffic warden is directing traffic, you must obey them. They'll use the arm signals shown in The Highway Code. Learn what these signals mean and obey them.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
26/9/2024:  Remove negative contraction",,AB2407n1.gif,,,,,85BW0961.jpg,,,,,"DES s6, HC p124"
AB2408,Road and traffic signs ,D,What does this arm signal mean?,Mark one answer,The driver is slowing down,The driver intends to turn right,The driver wishes to overtake,The driver intends to turn left,"There might be an occasion where another driver uses an arm signal. This may be because the vehicle’s indicators are obscured by other traffic. In order for such signals to be effective, all drivers should know their meaning. Be aware that the ‘left turn’ signal might look similar to the ‘slowing down’ signal.","09/02/2016:  AB and BB Items edited by TSO for style
31/10/2018:  Image replaced with a much better picture.
25/7/2019:  Change following 2019 review",,AB2408n1.gif,,,,,IMG_055.jpg,,,,,"?DES s6, HC p123"
AB2418,Road and traffic signs ,A,What does this motorway sign mean?,Mark one answer,Change to the lane on your left,Leave the motorway at the next exit,Change to the opposite carriageway,Pull up on the hard shoulder,"On the motorway, signs sometimes show temporary warnings due to traffic or weather conditions. They may be used to indicate
• lane closures
• temporary speed limits
• weather warnings.",23/11/2023:  Updates to cross references after new KYTS,,AB2418.gif,,,,,TS4025.eps,,,,,"?DES s6, HC p122, KYTS p105"
AB2419,Road and traffic signs ,D,What does this motorway sign mean?,Mark one answer,Temporary minimum speed 50 mph,No services for 50 miles,Obstruction 50 metres (164 feet) ahead,Temporary maximum speed 50 mph,"Look out for signs above your lane or on the central reservation. These will give you important information or warnings about the road ahead. To allow for the high speed of motorway traffic, these signs may light up some distance from any hazard. Do not ignore the signs just because the road looks clear to you.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contraction",,AB2419.gif,,,,,TS4028.eps,,,,,"?DES s6, HC p122, KYTS p105, 107"
AB2420,Road and traffic signs ,C,What does this sign mean?,Mark one answer,Through traffic to use left lane,Right-hand lane T-junction only,Right-hand lane closed ahead,11 tonne weight limit,"You should change lanes as directed by the sign. Here, the right-hand lane is closed but the left-hand and centre lanes are available. Merging in turn is recommended when it's safe and traffic is going slowly; for example, at roadworks or a road traffic incident. When vehicles are travelling at speed, this is not advisable and you should move into the appropriate lane in good time. ","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contraction",,AB2420.gif,,,,,TS4030.eps,,,,,"?DES s6, HC p122, KYTS p107"
AB2422,Road and traffic signs ,C,What does '25' mean on this motorway sign?,Mark one answer,The distance to the nearest town,The route number of the road,The number of the next junction,The speed limit on the slip road,"Before you set out on your journey, use a road map to plan your route. When you see an advance warning of your junction, make sure you get into the correct lane in plenty of time. Last-minute harsh braking and cutting across lanes at speed is extremely hazardous.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,AB2422.gif,,,,,TS4011.eps,,,,,"?DES s6, HC p130, KYTS p93"
AB2423,Road and traffic signs ,B,How should the right-hand lane of a three-lane motorway be used?,Mark one answer,As a high-speed lane,As an overtaking lane,As a right-turn lane,As an acceleration lane,"You should stay in the left-hand lane of a motorway unless you're overtaking another vehicle. The right-hand lane of a motorway is an overtaking lane; it’s not the 'fast lane'. After overtaking, move back to the left when it's safe to do so.","29/01/2016:  Continuation question re-written for accessibility
26/9/2024:  Remove negative contraction",,,,,,,,,,,,?DES s6
AB2424,Road and traffic signs ,C,Where can you find reflective amber studs on a motorway?,Mark one answer,Separating the slip road from the motorway,On the left-hand edge of the road,On the right-hand edge of the road,Separating the lanes,"At night or in poor visibility, reflective studs on the road help you to judge your position on the carriageway.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,,,,,,,,,,,"?DES s6, HC r132, KYTS p84"
AB2425,Road and traffic signs ,C,Where would you find green reflective studs on a motorway?,Mark one answer,Separating driving lanes,Between the hard shoulder and the carriageway,At slip-road entrances and exits,Between the carriageway and the central reservation,"Knowing the colours of the reflective studs on the road will help you judge your position, especially at night, in foggy conditions or when visibility is poor.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
23/11/2023:  Updates to cross references after new KYTS",,,,,,,,,,,,"?DES s6, HC r132, KYTS p84"
AB2426,Road and traffic signs ,A,What should you do when you see this sign as you travel along a motorway?,Mark one answer,Leave the motorway at the next exit,Turn left immediately,Change lane,Move onto the hard shoulder,"You'll see this sign if the motorway is closed ahead. Pull into the left-hand lane as soon as it's safe to do so. Do not wait until the last moment before you move across, because the lane may be busy and you'll have to rely on another driver making room for you.","29/01/2016:  Continuation question re-written for accessibility
23/11/2023:  Updates to cross references after new KYTS
26/9/2024:  Remove negative contraction",,AB2426.gif,,,,,TS4029.eps,,,,,"?DES s6, HC p122, KYTS p105"
AB2428,Road and traffic signs ,B,What does this sign mean?,Mark one answer,No motor vehicles,End of motorway,No through road,End of bus lane,"When you leave the motorway, make sure that you check your speedometer. You may be going faster than you realise. Slow down and look for speed-limit signs.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,AB2428.gif,,,,,TS4590.eps,,,,,"?DES s6, HC p132, KYTS p104"
AB2429,Road and traffic signs ,D,Which sign means that the national speed limit applies?,Mark one answer,,,,,You should know the speed limit for the road on which you're travelling and for your vehicle. The different speed limits are shown in The Highway Code.,"4/2/2016:  'you are' changed to 'you're' in Expl text field
09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
24/1/2020:  Expl amended to read better for both car and motorcycle tests.
23/11/2023:  Updates to cross references after new KYTS",,,AB2429a.gif,AB2429b.gif,AB2429c.gif,AB2429d.gif,,TS4667.eps,TS4668.eps,TS4691.eps,TS4675.eps,"?DES s6, HC p126, KYTS p21"
AB2430,Road and traffic signs ,B,What's the national speed limit on a single carriageway road?,Mark one answer,50 mph,60 mph,40 mph,70 mph,"If you’re travelling on a dual carriageway that becomes a single carriageway road, reduce your speed gradually so that you’re not exceeding the limit as you enter. There might not be a sign to remind you of the limit, so make sure you know the speed limits for different types of road and vehicle.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
26/9/2024:  Remove negative contraction",,,,,,,,,,,,"?DES s6, HC p48"
AB2529,Road and traffic signs ,B,What does this sign mean?,Mark one answer,End of motorway,End of restriction,Lane ends ahead,Free recovery ends,"Temporary restrictions on motorways are shown on signs that have flashing amber lights. At the end of the restriction, you'll see this sign without any flashing lights.","09/02/2016:  AB and BB Items edited by TSO for style
23/11/2023:  Updates to cross references after new KYTS",,AB2529.gif,,,,,TS4086.eps,,,,,"?DES s6, HC p122, KYTS p105, 107"
AB2530,Road and traffic signs ,A,What does this sign indicate?,Mark one answer,A diversion route,A picnic area,A pedestrian zone,A cycle route,"When a diversion route has been put in place, drivers are advised to follow a symbol, which may be a black triangle, square, circle or diamond shape on a yellow background.","29/01/2016:  Continuation question re-written for accessibility
23/11/2023:  Updates to cross references after new KYTS",,AB2530.gif,,,,,TS4572.eps,,,,,"?DES s6, HC p131, KYTS p125"
AB2578,Road and traffic signs ,A,What does this traffic sign mean?,Mark one answer,Compulsory maximum speed limit,Advisory maximum speed limit,Compulsory minimum speed limit,Advised separation distance,"The sign gives you an early warning of a speed restriction. If you're travelling at a higher speed, slow down in good time. You could come across queuing traffic due to roadworks or a temporary obstruction.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,AB2578n1.gif,,,,,50_mph_roadworks.eps,,,,,"?DES s6, HC p133"
